care_levels,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
16,16,U2FsdGVkX1+pqr678STUvwx901YZAbcd234EFGhij567KLMon==,U2FsdGVkX1+MRN0016pppQQQrrrSSSsssTTTuuu==,U2FsdGVkX1+INS0016vvvWWWwwwXXXxxxYYYaaaaa==,U2FsdGVkX1+BANK0016bbbCCCdddEEEeeeFFFfff==,,,,,,
17,17,U2FsdGVkX1+qrs789TUVwxy012ZABcde345FGHijk678LMNpo==,U2FsdGVkX1+MRN0017qqqRRRsssTTTtttUUUvvv==,U2FsdGVkX1+INS0017wwwXXXxxxYYYyyyZZZbbbbb==,U2FsdGVkX1+BANK0017cccDDDeeeFFFfffGGGggg==,,,,,,
18,18,U2FsdGVkX1+rst890UVWxyz123ABCdef456GHIjkl789MNOqp==,,U2FsdGVkX1+INS0018xxxYYYyyyZZZzzzAAAcccc==,U2FsdGVkX1+BANK0018dddEEEfffGGGgggHHHhhh==,,,,,,
19,19,U2FsdGVkX1+stu901VWXyza234BCDefg567HIJklm890NOPrq==,U2FsdGVkX1+MRN0019sssTTTtttUUUuuuVVVwww==,U2FsdGVkX1+INS0019yyyZZZzzzAAAaaaBBBdddd==,U2FsdGVkX1+BANK0019eeeFFFgggHHHhhhIIIiii==,,,,,,
20,20,U2FsdGVkX1+tuv012WXYzab345CDEfgh678IJKlmn901OPQsr==,U2FsdGVkX1+MRN0020tttUUUuuuVVVvvvWWWxxx==,U2FsdGVkX1+INS0020zzzAAAbbbCCCcccDDDeeee==,U2FsdGVkX1+BANK0020fffGGGhhhIIIiiiJJJjjj==,,,,,,
,,,,,,,,,,,
resident_care_level_history,,,,,,,,,,,
id,start_date,end_date,resident_id,care_level_id,,,,,,,
1,2023-01-15T00:00:00-04:00,2023-08-20T00:00:00-04:00,1,2,,,,,,,
2,2023-08-20T00:00:00-04:00,,1,3,,,,,,,
3,2024-02-01T00:00:00-04:00,,2,1,,,,,,,
4,2022-11-10T00:00:00-04:00,2023-06-15T00:00:00-04:00,3,1,,,,,,,
5,2023-06-15T00:00:00-04:00,2024-03-01T00:00:00-04:00,3,2,,,,,,,
6,2024-03-01T00:00:00-04:00,,3,4,,,,,,,
7,2024-05-05T00:00:00-04:00,,4,2,,,,,,,
8,2021-09-01T00:00:00-04:00,2023-01-10T00:00:00-04:00,5,2,,,,,,,
9,2023-01-10T00:00:00-04:00,2025-04-01T00:00:00-04:00,5,4,,,,,,,
10,2025-04-01T00:00:00-04:00,,5,5,,,,,,,
11,2024-07-12T00:00:00-04:00,,6,1,,,,,,,
12,2023-03-20T00:00:00-04:00,2024-01-15T00:00:00-04:00,7,1,,,,,,,
13,2024-01-15T00:00:00-04:00,,7,3,,,,,,,
14,2025-01-01T00:00:00-04:00,,8,2,,,,,,,
15,2022-06-18T00:00:00-04:00,2024-02-28T00:00:00-04:00,9,3,,,,,,,
16,2024-02-28T00:00:00-04:00,,9,4,,,,,,,
17,2024-09-01T00:00:00-04:00,,10,1,,,,,,,
18,2023-04-25T00:00:00-04:00,2023-12-01T00:00:00-04:00,11,2,,,,,,,
19,2023-12-01T00:00:00-04:00,,11,3,,,,,,,
20,2025-02-10T00:00:00-04:00,,12,1,,,,,,,
21,2021-12-05T00:00:00-04:00,2023-05-20T00:00:00-04:00,13,1,,,,,,,
22,2023-05-20T00:00:00-04:00,2024-11-01T00:00:00-04:00,13,2,,,,,,,
23,2024-11-01T00:00:00-04:00,,13,4,,,,,,,
24,2024-06-30T00:00:00-04:00,,14,3,,,,,,,
,,,,,,,,,,,
contacts,,,,,,,,,,,
id,first_name,middle_name,last_name,phone_primary,phone_secondary,email,address_id,is_deleted,created_at,updated_at,
1,Michael,,Anderson,1-212-555-0101,,michael.anderson@email.com,1,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
2,Jennifer,,Anderson,1-212-555-0102,,jennifer.anderson@email.com,1,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
3,Christopher,,Thompson,1-415-555-0103,,chris.thompson@email.com,2,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
4,Amanda,,Davis,1-312-555-0104,,,3,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
5,Matthew,,Miller,1-646-555-0105,,matt.miller@email.com,4,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
6,Elizabeth,,Wilson,1-713-555-0106,,liz.wilson@email.com,,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
7,Andrew,,Moore,1-602-555-0107,,andrew.moore@email.com,6,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
8,Emily,,Taylor,1-305-555-0108,,emily.taylor@email.com,7,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
9,Joshua,,Jackson,1-206-555-0109,,,8,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
10,Ashley,,White,1-404-555-0110,,ashley.white@email.com,9,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
11,Daniel,,Harris,1-617-555-0111,,daniel.harris@email.com,10,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
12,Samantha,,Martin,1-901-555-0112,,sam.martin@email.com,11,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
13,Ryan,,Thompson,1-702-555-0113,,,12,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
14,Nicole,,Garcia,1-619-555-0114,,nicole.garcia@email.com,13,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
15,Brandon,,Martinez,1-503-555-0115,,brandon.martinez@email.com,14,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
16,Rachel,,Robinson,1-414-555-0116,,rachel.robinson@email.com,,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
17,Justin,,Clark,1-303-555-0117,,justin.clark@email.com,16,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
18,Megan,,Rodriguez,1-210-555-0118,,,17,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
19,Kevin,,Lewis,1-858-555-0119,,kevin.lewis@email.com,18,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
20,Lauren,,Walker,1-804-555-0120,,lauren.walker@email.com,19,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
21,Tyler,,Hall,1-918-555-0121,,tyler.hall@email.com,20,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
22,Stephanie,,Allen,1-253-555-0122,,,,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
23,Jonathan,,Young,1-850-555-0123,,jonathan.young@email.com,21,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
24,Victoria,,King,1-480-555-0124,,victoria.king@email.com,22,0,2026-07-04T09:00:00-04:00,2026-07-04T09:00:00-04:00,
,,,,,,,,,,,
resident_contacts,,,,,,,,,,,
id,resident_id,contact_id,relationship_type,is_guarantor,is_emergency_contact,is_primary,financial_responsibility_pct,created_at,,,
1,1,1,SON,1,1,1,60.00,2026-07-04T09:00:00-04:00,,,
2,1,2,DAUGHTER,0,1,0,40.00,2026-07-04T09:05:00-04:00,,,
3,2,3,SPOUSE,1,1,1,100.00,2026-07-04T09:10:00-04:00,,,
4,3,4,LEGAL_GUARDIAN,1,1,1,100.00,2026-07-04T09:15:00-04:00,,,
5,4,5,SON,0,1,1,,2026-07-04T09:20:00-04:00,,,
6,5,6,SON,1,1,1,34.00,2026-07-04T09:25:00-04:00,,,
7,5,7,DAUGHTER,0,0,0,33.00,2026-07-04T09:26:00-04:00,,,
8,5,8,DAUGHTER,0,0,0,33.00,2026-07-04T09:27:00-04:00,,,
9,6,9,DAUGHTER,1,1,1,100.00,2026-07-04T09:30:00-04:00,,,
10,7,10,GRANDCHILD,1,1,1,100.00,2026-07-04T09:35:00-04:00,,,
11,8,11,SON,1,0,1,70.00,2026-07-04T09:40:00-04:00,,,
12,8,12,SON,0,1,0,30.00,2026-07-04T09:41:00-04:00,,,
13,9,13,SPOUSE,0,1,0,,2026-07-04T09:45:00-04:00,,,
14,9,14,DAUGHTER,1,0,1,100.00,2026-07-04T09:46:00-04:00,,,
15,10,15,SON,1,1,1,100.00,2026-07-04T09:50:00-04:00,,,
16,11,16,SIBLING,1,1,1,100.00,2026-07-04T09:55:00-04:00,,,
17,12,17,SON,1,1,1,50.00,2026-07-04T10:00:00-04:00,,,
18,12,18,DAUGHTER,0,1,0,50.00,2026-07-04T10:01:00-04:00,,,
19,13,19,LEGAL_GUARDIAN,1,1,1,100.00,2026-07-04T10:05:00-04:00,,,
20,13,20,DAUGHTER,0,0,0,,2026-07-04T10:06:00-04:00,,,
21,14,21,DAUGHTER_IN_LAW,1,1,1,100.00,2026-07-04T10:10:00-04:00,,,
